"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 06 22:49:46 MSK 2026","Mon Jul 06 22:49:47 MSK 2026","1048","tests","test_registration","TestRegistration","","","Регистрация с незаполненными полями",""
"passed","Mon Jul 06 22:49:24 MSK 2026","Mon Jul 06 22:49:25 MSK 2026","949","tests","test_recipe","TestRecipe","","","Создание рецепта без ингредиентов",""
"passed","Mon Jul 06 22:49:57 MSK 2026","Mon Jul 06 22:49:58 MSK 2026","1071","tests","test_registration","TestRegistration","","","Регистрация с незаполненными полями",""
"passed","Mon Jul 06 22:49:34 MSK 2026","Mon Jul 06 22:49:36 MSK 2026","2072","tests","test_registration","TestRegistration","","","Успешная регистрация нового пользователя",""
"passed","Mon Jul 06 22:49:10 MSK 2026","Mon Jul 06 22:49:12 MSK 2026","1570","tests","test_recipe","TestRecipe","","","Создание рецепта без названия",""
"passed","Mon Jul 06 22:48:43 MSK 2026","Mon Jul 06 22:48:44 MSK 2026","1479","tests","test_login","TestLogin","","","Авторизация с несуществующим пользователем",""
"passed","Mon Jul 06 22:48:56 MSK 2026","Mon Jul 06 22:48:58 MSK 2026","2250","tests","test_recipe","TestRecipe","","","Успешное создание рецепта",""
"passed","Mon Jul 06 22:48:20 MSK 2026","Mon Jul 06 22:48:21 MSK 2026","823","tests","test_login","TestLogin","","","Успешная авторизация",""
"passed","Mon Jul 06 22:50:07 MSK 2026","Mon Jul 06 22:50:08 MSK 2026","1057","tests","test_registration","TestRegistration","","","Регистрация с незаполненными полями",""
"passed","Mon Jul 06 22:48:32 MSK 2026","Mon Jul 06 22:48:33 MSK 2026","810","tests","test_login","TestLogin","","","Авторизация с неверным паролем",""
